Fold,Model,Accuracy,Method,K
33,guass_nb,0.9376,Univeriate,9
34,SVM,0.9408,Univeriate,9
34,guass_nb,0.9264,Univeriate,9
35,SVM,0.944,Univeriate,9
35,guass_nb,0.9216,Univeriate,9
36,SVM,0.9448,Univeriate,9
36,guass_nb,0.9216,Univeriate,9
37,SVM,0.9456,Univeriate,9
37,guass_nb,0.92,Univeriate,9
38,SVM,0.9336,Univeriate,9
38,guass_nb,0.9232,Univeriate,9
39,SVM,0.9432,Univeriate,9
39,guass_nb,0.9192,Univeriate,9
40,SVM,0.9496,Univeriate,9
40,guass_nb,0.9384,Univeriate,9
41,SVM,0.9464,Univeriate,9
41,guass_nb,0.9312,Univeriate,9
42,SVM,0.9416,Univeriate,9
42,guass_nb,0.924,Univeriate,9
43,SVM,0.9408,Univeriate,9
43,guass_nb,0.9336,Univeriate,9
44,SVM,0.9424,Univeriate,9
44,guass_nb,0.9224,Univeriate,9
45,SVM,0.944,Univeriate,9
45,guass_nb,0.928,Univeriate,9
46,SVM,0.936,Univeriate,9
46,guass_nb,0.9272,Univeriate,9
47,SVM,0.9368,Univeriate,9
47,guass_nb,0.9336,Univeriate,9
48,SVM,0.9424,Univeriate,9
48,guass_nb,0.9208,Univeriate,9
49,SVM,0.944,Univeriate,9
49,guass_nb,0.9272,Univeriate,9
0,SVM,0.8528,Feat_imp_score,1
0,guass_nb,0.852,Feat_imp_score,1
1,SVM,0.86,Feat_imp_score,1
1,guass_nb,0.8624,Feat_imp_score,1
2,SVM,0.8432,Feat_imp_score,1
2,guass_nb,0.8432,Feat_imp_score,1
3,SVM,0.8448,Feat_imp_score,1
3,guass_nb,0.8472,Feat_imp_score,1
4,SVM,0.8464,Feat_imp_score,1
4,guass_nb,0.8488,Feat_imp_score,1
5,SVM,0.8504,Feat_imp_score,1
5,guass_nb,0.8544,Feat_imp_score,1
6,SVM,0.844,Feat_imp_score,1
6,guass_nb,0.844,Feat_imp_score,1
7,SVM,0.8416,Feat_imp_score,1
7,guass_nb,0.8432,Feat_imp_score,1
8,SVM,0.8328,Feat_imp_score,1
8,guass_nb,0.8328,Feat_imp_score,1
9,SVM,0.8408,Feat_imp_score,1
9,guass_nb,0.844,Feat_imp_score,1
10,SVM,0.824,Feat_imp_score,1
10,guass_nb,0.824,Feat_imp_score,1
11,SVM,0.844,Feat_imp_score,1
11,guass_nb,0.8496,Feat_imp_score,1
12,SVM,0.832,Feat_imp_score,1
12,guass_nb,0.8352,Feat_imp_score,1
13,SVM,0.8424,Feat_imp_score,1
13,guass_nb,0.848,Feat_imp_score,1
14,SVM,0.8496,Feat_imp_score,1
14,guass_nb,0.8488,Feat_imp_score,1
15,SVM,0.8296,Feat_imp_score,1
15,guass_nb,0.8296,Feat_imp_score,1
16,SVM,0.8296,Feat_imp_score,1
16,guass_nb,0.8328,Feat_imp_score,1
17,SVM,0.8416,Feat_imp_score,1
17,guass_nb,0.8416,Feat_imp_score,1
18,SVM,0.8472,Feat_imp_score,1
18,guass_nb,0.8496,Feat_imp_score,1
19,SVM,0.8336,Feat_imp_score,1
19,guass_nb,0.8376,Feat_imp_score,1
20,SVM,0.8616,Feat_imp_score,1
20,guass_nb,0.8584,Feat_imp_score,1
21,SVM,0.8464,Feat_imp_score,1
21,guass_nb,0.8496,Feat_imp_score,1
22,SVM,0.8504,Feat_imp_score,1
22,guass_nb,0.8504,Feat_imp_score,1
23,SVM,0.8664,Feat_imp_score,1
23,guass_nb,0.8672,Feat_imp_score,1
24,SVM,0.8352,Feat_imp_score,1
24,guass_nb,0.8376,Feat_imp_score,1
25,SVM,0.832,Feat_imp_score,1
25,guass_nb,0.836,Feat_imp_score,1
26,SVM,0.8408,Feat_imp_score,1
26,guass_nb,0.8384,Feat_imp_score,1
27,SVM,0.8496,Feat_imp_score,1
27,guass_nb,0.848,Feat_imp_score,1
28,SVM,0.8368,Feat_imp_score,1
28,guass_nb,0.84,Feat_imp_score,1
29,SVM,0.8504,Feat_imp_score,1
29,guass_nb,0.856,Feat_imp_score,1
30,SVM,0.836,Feat_imp_score,1
30,guass_nb,0.836,Feat_imp_score,1
31,SVM,0.8344,Feat_imp_score,1
31,guass_nb,0.8368,Feat_imp_score,1
32,SVM,0.8512,Feat_imp_score,1
32,guass_nb,0.8504,Feat_imp_score,1
33,SVM,0.8408,Feat_imp_score,1
33,guass_nb,0.84,Feat_imp_score,1
34,SVM,0.836,Feat_imp_score,1
34,guass_nb,0.836,Feat_imp_score,1
35,SVM,0.8224,Feat_imp_score,1
35,guass_nb,0.8288,Feat_imp_score,1
36,SVM,0.8288,Feat_imp_score,1
36,guass_nb,0.8288,Feat_imp_score,1
37,SVM,0.816,Feat_imp_score,1
37,guass_nb,0.8128,Feat_imp_score,1
38,SVM,0.8408,Feat_imp_score,1
38,guass_nb,0.8432,Feat_imp_score,1
39,SVM,0.8496,Feat_imp_score,1
39,guass_nb,0.8552,Feat_imp_score,1
40,SVM,0.8496,Feat_imp_score,1
40,guass_nb,0.8504,Feat_imp_score,1
41,SVM,0.8456,Feat_imp_score,1
41,guass_nb,0.8456,Feat_imp_score,1
42,SVM,0.8504,Feat_imp_score,1
42,guass_nb,0.8552,Feat_imp_score,1
43,SVM,0.8416,Feat_imp_score,1
43,guass_nb,0.8504,Feat_imp_score,1
44,SVM,0.8424,Feat_imp_score,1
44,guass_nb,0.8416,Feat_imp_score,1
45,SVM,0.8472,Feat_imp_score,1
45,guass_nb,0.8472,Feat_imp_score,1
46,SVM,0.8456,Feat_imp_score,1
46,guass_nb,0.8456,Feat_imp_score,1
47,SVM,0.8336,Feat_imp_score,1
47,guass_nb,0.836,Feat_imp_score,1
48,SVM,0.8344,Feat_imp_score,1
48,guass_nb,0.8384,Feat_imp_score,1
49,SVM,0.8496,Feat_imp_score,1
49,guass_nb,0.8528,Feat_imp_score,1
0,SVM,0.8704,Feat_imp_score,2
0,guass_nb,0.8664,Feat_imp_score,2
1,SVM,0.8688,Feat_imp_score,2
1,guass_nb,0.8664,Feat_imp_score,2
2,SVM,0.8816,Feat_imp_score,2
2,guass_nb,0.8776,Feat_imp_score,2
3,SVM,0.8824,Feat_imp_score,2
3,guass_nb,0.8792,Feat_imp_score,2
4,SVM,0.8712,Feat_imp_score,2
4,guass_nb,0.868,Feat_imp_score,2
5,SVM,0.876,Feat_imp_score,2
5,guass_nb,0.8728,Feat_imp_score,2
6,SVM,0.872,Feat_imp_score,2
6,guass_nb,0.8744,Feat_imp_score,2
7,SVM,0.8752,Feat_imp_score,2
7,guass_nb,0.8736,Feat_imp_score,2
8,SVM,0.856,Feat_imp_score,2
8,guass_nb,0.8496,Feat_imp_score,2
9,SVM,0.8816,Feat_imp_score,2
9,guass_nb,0.8776,Feat_imp_score,2
10,SVM,0.8656,Feat_imp_score,2
10,guass_nb,0.8672,Feat_imp_score,2
11,SVM,0.8856,Feat_imp_score,2
11,guass_nb,0.884,Feat_imp_score,2
12,SVM,0.8696,Feat_imp_score,2
12,guass_nb,0.8696,Feat_imp_score,2
13,SVM,0.8704,Feat_imp_score,2
13,guass_nb,0.8656,Feat_imp_score,2
14,SVM,0.8784,Feat_imp_score,2
14,guass_nb,0.8792,Feat_imp_score,2
15,SVM,0.872,Feat_imp_score,2
15,guass_nb,0.8752,Feat_imp_score,2
16,SVM,0.8832,Feat_imp_score,2
16,guass_nb,0.884,Feat_imp_score,2
17,SVM,0.8784,Feat_imp_score,2
17,guass_nb,0.8776,Feat_imp_score,2
18,SVM,0.8816,Feat_imp_score,2
18,guass_nb,0.884,Feat_imp_score,2
19,SVM,0.8704,Feat_imp_score,2
19,guass_nb,0.872,Feat_imp_score,2
20,SVM,0.8768,Feat_imp_score,2
20,guass_nb,0.8784,Feat_imp_score,2
21,SVM,0.8672,Feat_imp_score,2
21,guass_nb,0.8664,Feat_imp_score,2
22,SVM,0.8872,Feat_imp_score,2
22,guass_nb,0.8872,Feat_imp_score,2
23,SVM,0.872,Feat_imp_score,2
23,guass_nb,0.8712,Feat_imp_score,2
24,SVM,0.8624,Feat_imp_score,2
24,guass_nb,0.8592,Feat_imp_score,2
25,SVM,0.8784,Feat_imp_score,2
25,guass_nb,0.8808,Feat_imp_score,2
26,SVM,0.8744,Feat_imp_score,2
26,guass_nb,0.868,Feat_imp_score,2
27,SVM,0.8784,Feat_imp_score,2
27,guass_nb,0.8752,Feat_imp_score,2
28,SVM,0.8864,Feat_imp_score,2
28,guass_nb,0.884,Feat_imp_score,2
29,SVM,0.8752,Feat_imp_score,2
29,guass_nb,0.8784,Feat_imp_score,2
30,SVM,0.8704,Feat_imp_score,2
30,guass_nb,0.8688,Feat_imp_score,2
31,SVM,0.8832,Feat_imp_score,2
31,guass_nb,0.884,Feat_imp_score,2
32,SVM,0.8656,Feat_imp_score,2
32,guass_nb,0.8576,Feat_imp_score,2
33,SVM,0.8744,Feat_imp_score,2
33,guass_nb,0.8832,Feat_imp_score,2
34,SVM,0.888,Feat_imp_score,2
34,guass_nb,0.8872,Feat_imp_score,2
35,SVM,0.8664,Feat_imp_score,2
35,guass_nb,0.8696,Feat_imp_score,2
36,SVM,0.868,Feat_imp_score,2
36,guass_nb,0.8672,Feat_imp_score,2
37,SVM,0.8648,Feat_imp_score,2
37,guass_nb,0.8624,Feat_imp_score,2
38,SVM,0.8864,Feat_imp_score,2
38,guass_nb,0.8848,Feat_imp_score,2
39,SVM,0.884,Feat_imp_score,2
39,guass_nb,0.8792,Feat_imp_score,2
40,SVM,0.8792,Feat_imp_score,2
40,guass_nb,0.8768,Feat_imp_score,2
41,SVM,0.8736,Feat_imp_score,2
41,guass_nb,0.8712,Feat_imp_score,2
42,SVM,0.8664,Feat_imp_score,2
